city,state,mayor,city_council,incumbent_mayor_party,notes
Birmingham,Alabama,TRUE,TRUE,Democratic,
Anchorage,Alaska,FALSE,TRUE,#N/A,
Phoenix,Arizona,FALSE,TRUE,#N/A,
Tucson,Arizona,FALSE,TRUE,#N/A,
Los Angeles,California,TRUE,TRUE,Democratic,
Riverside,California,FALSE,TRUE,#N/A,
San Bernardino,California,TRUE,TRUE,Republican,
Aurora,Colorado,FALSE,TRUE,#N/A,
Colorado Springs,Colorado,FALSE,TRUE,#N/A,
Hialeah,Florida,TRUE,TRUE,Nonpartisan,
Miami,Florida,TRUE,TRUE,Republican,
Orlando,Florida,FALSE,TRUE,#N/A,
St. Petersburg,Florida,TRUE,TRUE,Democratic,
Atlanta,Georgia,TRUE,TRUE,Democratic,
Boise,Idaho,FALSE,TRUE,#N/A,
Wichita,Kansas,FALSE,TRUE,#N/A,
Boston,Massachusetts,TRUE,TRUE,Democratic,
Detroit,Michigan,TRUE,TRUE,Democratic,
Minneapolis,Minnesota,TRUE,TRUE,Democratic,Mayor is member of Minnesota Democratic–Farmer–Labor Party
St. Paul,Minnesota,TRUE,FALSE,Democratic,Mayor is member of Minnesota Democratic–Farmer–Labor Party
St. Louis,Missouri,TRUE,TRUE,Democratic,
Lincoln,Nebraska,FALSE,TRUE,#N/A,
Omaha,Nebraska,TRUE,TRUE,Republican,
Henderson,Nevada,TRUE,TRUE,Democratic,
Las Vegas,Nevada,FALSE,TRUE,#N/A,
North Las Vegas,Nevada,TRUE,TRUE,Democratic,
Jersey City,New Jersey,TRUE,TRUE,Democratic,
Albuquerque,New Mexico,TRUE,TRUE,Republican,
Buffalo,New York,TRUE,FALSE,Democratic,
New York,New York,TRUE,TRUE,Democratic,
Charlotte,North Carolina,TRUE,TRUE,Democratic,
Durham,North Carolina,TRUE,TRUE,Democratic,
Greensboro,North Carolina,TRUE,TRUE,Democratic,
Raleigh,North Carolina,TRUE,TRUE,Nonpartisan,
Cincinnati,Ohio,TRUE,TRUE,Democratic,
Cleveland,Ohio,TRUE,TRUE,Democratic,
Columbus,Ohio,FALSE,TRUE,#N/A,
Toledo,Ohio,TRUE,TRUE,Democratic,
Oklahoma City,Oklahoma,FALSE,TRUE,#N/A,
Pittsburgh,Pennsylvania,TRUE,TRUE,Democratic,
Arlington,Texas,FALSE,TRUE,#N/A,
Dallas,Texas,FALSE,TRUE,#N/A,
El Paso,Texas,TRUE,TRUE,Nonpartisan,
Fort Worth,Texas,TRUE,TRUE,Republican,
Garland,Texas,TRUE,TRUE,Nonpartisan,
Irving,Texas,FALSE,TRUE,#N/A,
Plano,Texas,TRUE,TRUE,Democratic,
San Antonio,Texas,TRUE,TRUE,Democratic,
Seattle,Washington,TRUE,TRUE,Democratic,
Madison,Wisconsin,FALSE,TRUE,#N/A,
